lease_id,property_id,market,property_class,unit_type,unit_sqft,tenure_months,lease_start_date,current_rent,market_rent,rent_increase_offered_pct,concession_months,maintenance_requests_count,maintenance_avg_response_days,feedback_theme,feedback_sentiment,feedback_text,renewed,occupancy_pct,same_property_noi_growth_pct,renewal_probability,renewal_risk_tier
L00001,PR001,Tampa,B,1BR,729.0,11.7,2025-01-12,1071.0,1131.0,5.67,2,1,0.78,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1,92.8,3.47,0.5291,Uncertain
L00002,PR001,Tampa,B,2BR,1068.0,17.6,2024-07-14,1590.0,1648.0,3.68,0,0,0.2,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.5961,Uncertain
L00003,PR001,Tampa,B,2BR,1035.0,12.8,2024-12-09,1428.0,1389.0,-2.71,0,0,0.2,Amenities,positive,Amenity spaces are a great value for the rent.,1,92.8,3.47,0.6681,Likely to Renew
L00004,PR001,Tampa,B,2BR,1130.0,24.5,2023-12-17,1575.0,1773.0,12.51,1,2,0.2,Management Responsiveness,negative,Management is difficult to reach when issues come up.,0,92.8,3.47,0.3257,High Renewal Risk
L00005,PR001,Tampa,B,1BR,752.0,44.7,2022-04-12,1104.0,1153.0,4.44,1,1,0.95,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.6127,Likely to Renew
L00006,PR001,Tampa,B,1BR,786.0,5.9,2025-07-07,1155.0,1156.0,0.03,0,3,1.24,Maintenance,positive,Quick turnaround on my maintenance request.,0,92.8,3.47,0.6608,Likely to Renew
L00007,PR001,Tampa,B,2BR,1146.0,3.6,2025-09-14,1601.0,1794.0,12.1,0,1,0.2,Safety,negative,Parking area doesn't feel very secure at night.,0,92.8,3.47,0.2967,High Renewal Risk
L00008,PR001,Tampa,B,1BR,668.0,7.7,2025-05-12,911.0,976.0,7.09,1,1,1.13,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.4557,Uncertain
L00009,PR001,Tampa,B,1BR,721.0,4.8,2025-08-10,1015.0,994.0,-2.0,0,2,0.25,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.6792,Likely to Renew
L00010,PR001,Tampa,B,1BR,727.0,13.4,2024-11-21,1006.0,993.0,-1.22,0,0,0.2,Maintenance,negative,Maintenance team is slow to respond to requests.,1,92.8,3.47,0.7108,Likely to Renew
L00011,PR001,Tampa,B,Studio,587.0,34.0,2023-03-05,837.0,861.0,2.89,0,0,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1,92.8,3.47,0.7404,Likely to Renew
L00012,PR001,Tampa,B,1BR,756.0,2.1,2025-10-30,982.0,1036.0,5.49,2,0,1.3,Amenities,positive,Amenity spaces are a great value for the rent.,1,92.8,3.47,0.4089,Uncertain
L00013,PR001,Tampa,B,2BR,1124.0,1.5,2025-11-17,1600.0,1713.0,7.11,0,1,0.77,Management Responsiveness,positive,Management team is responsive and easy to work with.,1,92.8,3.47,0.4861,Uncertain
L00014,PR001,Tampa,B,1BR,679.0,4.1,2025-08-29,910.0,990.0,8.75,0,0,0.55,Lighting,negative,Common area lighting could be improved.,0,92.8,3.47,0.3009,High Renewal Risk
L00015,PR001,Tampa,B,1BR,755.0,18.1,2024-06-29,1115.0,1190.0,6.7,0,0,0.74,Noise,positive,"Building is quiet, never had a noise complaint.",0,92.8,3.47,0.4405,Uncertain
L00016,PR001,Tampa,B,2BR,1133.0,12.6,2024-12-15,1522.0,1685.0,10.73,0,2,1.42,Safety,negative,"Front gate has been broken, security is a concern.",0,92.8,3.47,0.2524,High Renewal Risk
L00017,PR001,Tampa,B,2BR,1127.0,1.5,2025-11-17,1515.0,1585.0,4.63,0,0,0.4,Cleanliness,negative,Hallways and trash areas need more attention.,1,92.8,3.47,0.5075,Uncertain
L00018,PR001,Tampa,B,1BR,773.0,35.1,2023-01-29,1112.0,1114.0,0.2,2,0,0.55,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1,92.8,3.47,0.6549,Likely to Renew
L00019,PR001,Tampa,B,2BR,1081.0,21.9,2024-03-08,1514.0,1575.0,3.98,0,1,1.63,Maintenance,negative,Maintenance team is slow to respond to requests.,1,92.8,3.47,0.5385,Uncertain
L00020,PR001,Tampa,B,1BR,752.0,1.0,2025-12-02,1197.0,1241.0,3.66,0,0,0.2,Amenities,negative,Gym equipment has been broken for months.,1,92.8,3.47,0.5797,Uncertain
L00021,PR001,Tampa,B,2BR,989.0,14.8,2024-10-10,1249.0,1138.0,-5.0,0,1,1.11,Noise,negative,Noise from neighboring units is a constant issue.,1,92.8,3.47,0.6919,Likely to Renew
L00022,PR001,Tampa,B,2BR,1031.0,20.7,2024-04-14,1453.0,1471.0,1.19,0,1,0.2,Lighting,negative,Parking lot lighting is poor at night.,0,92.8,3.47,0.6,Uncertain
L00023,PR001,Tampa,B,3BR,1366.0,6.6,2025-06-16,2041.0,2155.0,5.57,0,0,0.2,Amenities,negative,Pool area feels outdated and underused.,1,92.8,3.47,0.6057,Likely to Renew
L00024,PR001,Tampa,B,2BR,1041.0,1.0,2025-12-02,1407.0,1434.0,1.88,2,0,0.39,Cleanliness,negative,Common areas are not kept clean.,0,92.8,3.47,0.4705,Uncertain
L00025,PR001,Tampa,B,2BR,1117.0,1.1,2025-11-28,1479.0,1490.0,0.77,0,1,1.01,Amenities,negative,Pool area feels outdated and underused.,1,92.8,3.47,0.543,Uncertain
L00026,PR001,Tampa,B,2BR,1105.0,1.5,2025-11-16,1466.0,1592.0,8.56,0,0,1.69,Management Responsiveness,negative,Hard to get a response from the leasing office.,1,92.8,3.47,0.4019,Uncertain
L00027,PR001,Tampa,B,1BR,801.0,25.7,2023-11-12,1013.0,1007.0,-0.58,0,1,0.59,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1,92.8,3.47,0.6487,Likely to Renew
L00028,PR001,Tampa,B,1BR,786.0,33.8,2023-03-10,1189.0,1279.0,7.56,0,0,0.2,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1,92.8,3.47,0.5269,Uncertain
L00029,PR001,Tampa,B,2BR,1092.0,1.8,2025-11-07,1499.0,1459.0,-2.66,0,0,1.13,Safety,negative,Parking area doesn't feel very secure at night.,0,92.8,3.47,0.5401,Uncertain
L00030,PR001,Tampa,B,1BR,778.0,3.8,2025-09-09,1060.0,1249.0,17.8,0,1,2.95,Safety,positive,"Always feel safe on the property, good lighting and gated access.",0,92.8,3.47,0.2223,High Renewal Risk
L00031,PR001,Tampa,B,2BR,1134.0,2.5,2025-10-16,1386.0,1426.0,2.92,2,0,0.6,Lighting,negative,Parking lot lighting is poor at night.,0,92.8,3.47,0.4488,Uncertain
L00032,PR001,Tampa,B,Studio,507.0,2.9,2025-10-06,648.0,664.0,2.38,1,1,0.2,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.6668,Likely to Renew
L00033,PR001,Tampa,B,1BR,738.0,25.4,2023-11-20,1124.0,1233.0,9.72,1,0,0.67,Management Responsiveness,positive,Management team is responsive and easy to work with.,0,92.8,3.47,0.3245,High Renewal Risk
L00034,PR001,Tampa,B,1BR,746.0,5.7,2025-07-14,1064.0,1084.0,1.91,0,0,0.49,Noise,negative,Thin walls make it hard to get any quiet.,1,92.8,3.47,0.6186,Likely to Renew
L00035,PR001,Tampa,B,1BR,732.0,5.2,2025-07-27,1097.0,1220.0,11.27,0,1,0.41,Amenities,negative,Pool area feels outdated and underused.,0,92.8,3.47,0.2749,High Renewal Risk
L00036,PR001,Tampa,B,2BR,1135.0,3.6,2025-09-14,1688.0,1787.0,5.86,1,0,1.44,Lighting,positive,"Well-lit throughout, common areas and parking included.",0,92.8,3.47,0.3759,High Renewal Risk
L00037,PR001,Tampa,B,1BR,726.0,13.1,2024-11-29,956.0,989.0,3.41,0,0,1.87,Cleanliness,positive,Property is always clean and well-maintained.,1,92.8,3.47,0.5752,Uncertain
L00038,PR001,Tampa,B,1BR,797.0,6.7,2025-06-13,1278.0,1315.0,2.87,2,0,1.18,Safety,negative,Parking area doesn't feel very secure at night.,1,92.8,3.47,0.6146,Likely to Renew
L00039,PR001,Tampa,B,1BR,736.0,19.1,2024-05-31,1151.0,1267.0,10.04,1,0,0.36,Amenities,positive,Amenity spaces are a great value for the rent.,0,92.8,3.47,0.3573,High Renewal Risk
L00040,PR001,Tampa,B,1BR,768.0,3.2,2025-09-26,1038.0,1092.0,5.15,0,0,1.62,Safety,negative,Parking area doesn't feel very secure at night.,0,92.8,3.47,0.3798,High Renewal Risk
