property_id,market,property_class,year_built,total_units,avg_unit_sqft,occupancy_pct,asking_rent_psf,effective_rent_psf,loss_to_lease_pct,concession_pct,annual_revenue,opex_ratio,noi,noi_margin,same_property_noi_growth_pct,maintenance_avg_response_hours,renovation_status,capex_per_unit_ytd,cap_rate,valuation,cluster,segment
PR001,Tampa,B,2000,252,782.0,92.8,1.45,1.4,3.25,0.67,3081268.0,0.5244,1465350.0,0.4756,3.47,11.9,,143.0,0.0475,30834524.0,2,Disposition-Review Candidate
PR002,Charlotte,A,2002,271,833.0,87.2,1.93,1.83,5.01,1.59,4325140.0,0.4411,2417241.0,0.5589,5.07,53.8,Completed (last 12mo),4954.0,0.0677,35705080.0,4,Operating-Improvement Candidate
PR003,Denver,A,2008,165,820.0,88.9,1.82,1.65,9.57,1.67,2379835.0,0.4053,1415313.0,0.5947,6.32,18.6,Completed (last 12mo),5220.0,0.0494,28641222.0,4,Operating-Improvement Candidate
PR004,Tampa,B,2010,160,888.0,95.0,1.43,1.37,3.94,3.69,2219003.0,0.4381,1246878.0,0.5619,0.61,16.9,,189.0,0.061,20451549.0,1,Stable Performer
PR005,Phoenix,B,2009,209,994.0,85.2,1.71,1.64,3.98,0.0,3492068.0,0.5017,1739933.0,0.4983,-2.85,10.1,,746.0,0.0618,28134459.0,3,Repositioning Candidate
PR006,Nashville,C,2013,152,857.0,89.5,1.35,1.29,4.38,3.35,1806989.0,0.5092,886944.0,0.4908,2.12,18.4,,100.0,0.0611,14513585.0,2,Disposition-Review Candidate
PR007,Denver,A,1999,230,871.0,97.0,1.88,1.79,5.21,1.42,4164102.0,0.3586,2670699.0,0.6414,0.45,22.6,,1303.0,0.0631,42337026.0,1,Stable Performer
PR008,Denver,B,1985,212,833.0,92.6,1.54,1.49,3.3,4.05,2918706.0,0.4745,1533713.0,0.5255,5.08,29.3,,269.0,0.0596,25735289.0,4,Operating-Improvement Candidate
PR009,Tampa,B,2009,404,926.0,89.6,1.74,1.65,5.21,2.4,6613310.0,0.5058,3268464.0,0.4942,1.19,20.3,Completed (last 12mo),5029.0,0.0567,57625392.0,3,Repositioning Candidate
PR010,Dallas,A,1991,148,868.0,89.6,1.74,1.73,0.11,3.54,2395087.0,0.4543,1306964.0,0.5457,-1.69,6.0,,356.0,0.0528,24738563.0,3,Repositioning Candidate
PR011,Phoenix,B,1993,165,887.0,95.3,1.6,1.53,4.67,1.72,2554192.0,0.4349,1443308.0,0.5651,1.56,7.3,Completed (last 12mo),4968.0,0.0626,23061376.0,0,Renovation Opportunity
PR012,Tampa,A,2008,249,983.0,94.9,2.25,2.15,4.1,3.38,6002234.0,0.3663,3803497.0,0.6337,-0.73,40.2,Completed (last 12mo),2176.0,0.0521,73053163.0,1,Stable Performer
PR013,Phoenix,A,1985,281,840.0,91.9,2.24,2.16,3.57,5.83,5635194.0,0.407,3341889.0,0.593,6.98,28.2,,899.0,0.0573,58331247.0,4,Operating-Improvement Candidate
PR014,Phoenix,C,1992,380,796.0,93.3,0.91,0.88,3.05,1.02,2981866.0,0.6302,1102815.0,0.3698,4.18,39.7,Completed (last 12mo),4872.0,0.0559,19731616.0,2,Disposition-Review Candidate
PR015,Nashville,C,2008,333,860.0,92.4,1.09,1.06,2.78,2.29,3352564.0,0.4382,1883471.0,0.5618,4.62,41.7,In Progress,3870.0,0.0615,30619473.0,4,Operating-Improvement Candidate
PR016,Denver,C,1995,277,922.0,96.2,1.23,1.2,2.37,1.53,3526115.0,0.4663,1881921.0,0.5337,4.34,32.3,,605.0,0.0532,35396274.0,1,Stable Performer
PR017,Charlotte,B,2001,240,865.0,94.3,1.35,1.36,-0.64,5.69,3195035.0,0.4757,1675215.0,0.5243,5.1,11.5,,190.0,0.07,23937786.0,4,Operating-Improvement Candidate
PR018,Nashville,A,1992,282,915.0,92.3,1.85,1.79,3.46,1.63,5108264.0,0.415,2988238.0,0.585,5.83,32.8,Completed (last 12mo),2146.0,0.0639,46761388.0,4,Operating-Improvement Candidate
PR019,Nashville,B,2019,177,760.0,91.4,1.53,1.43,6.19,1.03,2116842.0,0.452,1160047.0,0.548,1.65,51.0,In Progress,9132.0,0.0618,18783235.0,0,Renovation Opportunity
PR020,Phoenix,B,2019,197,742.0,84.3,1.76,1.7,3.33,1.34,2514572.0,0.541,1154216.0,0.459,-0.55,23.3,Completed (last 12mo),3377.0,0.0519,22228833.0,3,Repositioning Candidate
