lease_id,property_id,market,property_class,unit_type,unit_sqft,tenure_months,lease_start_date,current_rent,market_rent,rent_increase_offered_pct,concession_months,maintenance_requests_count,maintenance_avg_response_days,feedback_theme,feedback_sentiment,feedback_text,renewed
L00001,PR001,Tampa,B,1BR,729.0,11.7,2025-01-12,1071.0,1131.0,5.67,2,1,0.78,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00002,PR001,Tampa,B,2BR,1068.0,17.6,2024-07-14,1590.0,1648.0,3.68,0,0,0.2,Cleanliness,positive,Property is always clean and well-maintained.,1
L00003,PR001,Tampa,B,2BR,1035.0,12.8,2024-12-09,1428.0,1389.0,-2.71,0,0,0.2,Amenities,positive,Amenity spaces are a great value for the rent.,1
L00004,PR001,Tampa,B,2BR,1130.0,24.5,2023-12-17,1575.0,1773.0,12.51,1,2,0.2,Management Responsiveness,negative,Management is difficult to reach when issues come up.,0
L00005,PR001,Tampa,B,1BR,752.0,44.7,2022-04-12,1104.0,1153.0,4.44,1,1,0.95,Cleanliness,positive,Property is always clean and well-maintained.,1
L00006,PR001,Tampa,B,1BR,786.0,5.9,2025-07-07,1155.0,1156.0,0.03,0,3,1.24,Maintenance,positive,Quick turnaround on my maintenance request.,0
L00007,PR001,Tampa,B,2BR,1146.0,3.6,2025-09-14,1601.0,1794.0,12.1,0,1,0.2,Safety,negative,Parking area doesn't feel very secure at night.,0
L00008,PR001,Tampa,B,1BR,668.0,7.7,2025-05-12,911.0,976.0,7.09,1,1,1.13,Cleanliness,positive,Property is always clean and well-maintained.,1
L00009,PR001,Tampa,B,1BR,721.0,4.8,2025-08-10,1015.0,994.0,-2.0,0,2,0.25,Cleanliness,positive,Property is always clean and well-maintained.,1
L00010,PR001,Tampa,B,1BR,727.0,13.4,2024-11-21,1006.0,993.0,-1.22,0,0,0.2,Maintenance,negative,Maintenance team is slow to respond to requests.,1
